controller_call_index,executed_step_index,mode_before,mode_after,moved,x_m,y_m,event_type,episode_index,entry_multiplier_initial,entry_threshold_current,exit_threshold_current,base_hazard_reference,trigger_measurement,radiation_quantity,radiation_unit,transition_reason,normal_route_interrupted,normal_route_replanned,mission_complete,completion_reason
95,95,RADIATION,RADIATION,True,522500.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.6134535263025509,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
96,96,RADIATION,RADIATION,True,522480.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5801087086459842,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
97,97,RADIATION,RADIATION,True,522460.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5440498573053021,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
98,98,RADIATION,RADIATION,True,522440.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5070336917670253,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
99,99,RADIATION,RADIATION,True,522460.9204974669,5697264.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.4814149305163596,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
100,100,RADIATION,RADIATION,True,522480.9204974669,5697284.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.450888089857516,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
101,101,RADIATION,RADIATION,True,522500.9204974669,5697284.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.47042608507221634,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
102,102,RADIATION,RADIATION,True,522520.9204974669,5697284.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.48711238708401167,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
103,103,RADIATION,RADIATION,True,522540.9204974669,5697284.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5001760148745176,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
104,104,RADIATION,RADIATION,True,522560.9204974669,5697284.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5090362490110376,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
105,105,RADIATION,RADIATION,True,522580.9204974669,5697284.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5133983489046681,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
106,106,RADIATION,RADIATION,True,522600.9204974669,5697284.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5133071515800971,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
107,107,RADIATION,RADIATION,True,522620.9204974669,5697264.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.5791130433562512,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
108,108,RADIATION,RADIATION,True,522640.9204974669,5697244.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.6484004098019529,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
109,109,RADIATION,RADIATION,True,522640.9204974669,5697224.290406496,,1,0.01,0.1,0.09000000000000001,10.0,0.749998609839905,ground_equivalent_excess_gamma_dose_rate,uSv/h,,False,False,False,
