path_distance_m,time_s,cumulative_sar_probability,cumulative_survivors_found,cumulative_uav_excess_distance_integral,cumulative_uav_total_distance_integral,cumulative_uav_excess_dose,cumulative_uav_total_dose,radiation_distance_integral_unit,radiation_dose_unit
47402.0,4740.2,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47403.0,4740.3,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47404.0,4740.4,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47405.0,4740.5,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47406.0,4740.6,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47407.0,4740.7,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47408.0,4740.8,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47409.0,4740.9,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47410.0,4741.0,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47411.0,4741.1,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47412.0,4741.2,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47413.0,4741.3,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47414.0,4741.4,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47415.0,4741.5,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47416.0,4741.6,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47417.0,4741.7,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47418.0,4741.8,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
47419.0,4741.9,0.7624636543519808,69,231.57818330336784,231.57818330336784,0.00643272731398244,0.00643272731398244,uGy/h*m,uGy
