step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
155,523180.920497467,5696684.290406497,50.0,1.0,0.5998648275208718,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
156,523200.920497467,5696684.290406497,50.0,1.0,0.7270295982047326,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
157,523220.920497467,5696684.290406497,50.0,1.0,0.8961557892266732,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
158,523240.920497467,5696704.290406497,50.0,1.0,0.9859923867030498,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
159,523260.920497467,5696704.290406497,50.0,1.0,1.221561732468209,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
160,523280.920497467,5696724.290406497,50.0,1.0,1.2300827938640255,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
161,523300.920497467,5696724.290406497,50.0,1.0,1.4676292406711753,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
162,523320.920497467,5696744.290406497,50.0,1.0,1.29584001170385,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
163,523320.920497467,5696724.290406497,50.0,1.0,1.7188374306982583,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
164,523340.920497467,5696704.290406497,50.0,1.0,2.806666482532692,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
165,523360.920497467,5696724.290406497,50.0,1.0,2.0893237492200822,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
166,523360.920497467,5696704.290406497,50.0,1.0,3.11806085865003,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
